person_id,primary_citizenship,sex,is_first_generation_hed_student
3174,US,Male,false
358840,US,Male,false
145950,IR,Male,false
216673,US,Male,false
287107,US,Male,false
361414,CN,Male,false
76069,US,Male,false
147132,US,Male,false
432864,US,Male,false
147610,US,Male,false
360691,US,Male,false
502076,US,Male,false
219611,US,Male,false
5265,US,Male,false
290498,US,Male,false
361962,US,Male,false
4461,"",Male,false
291155,US,Male,false
432707,US,Male,false
217848,US,Male,false
600503,US,Male,false
359762,US,Male,false
150352,KR,Male,false
598873,US,Male,false
505530,US,Male,false
364186,"",Male,false
363644,US,Male,false
8200,US,Male,false
6717,CN,Male,false
149901,US,Male,false
435060,US,Male,false
7976,"",Male,false
294141,US,Male,false
506979,US,Male,false
223355,US,Male,false
10598,CN,Male,false
223112,KR,Male,false
152356,US,Male,false
223390,US,Male,false
294714,US,Male,false
585818,US,Male,false
293915,US,Male,false
294155,US,Male,false
507828,US,Male,false
437430,US,Male,false
224085,US,Male,false
506408,US,Male,false
508044,US,Male,false
367724,US,Male,false
568805,US,Male,false
509883,US,Male,false
367276,US,Male,false
224815,US,Male,false
296194,CN,Male,false
297728,US,Male,false
154481,US,Male,false
153741,US,Male,false
155241,US,Male,false
367115,IQ,Male,false
12404,US,Male,false
580185,US,Male,false
509221,US,Male,false
84340,US,Male,false
368121,US,Male,false
155209,US,Male,false
228478,US,Male,false
157087,US,Male,false
571656,US,Male,false
511352,US,Male,false
14212,US,Male,false
600982,US,Male,false
228912,US,Male,false
299872,US,Male,false
583180,US,Male,false
370805,US,Male,false
441750,"",Male,false
298006,"",Male,false
13976,US,Male,false
371302,US,Male,false
17876,US,Male,false
158223,US,Male,false
302232,CN,Male,false
87774,US,Male,false
17244,US,Male,false
373058,US,Male,false
157721,US,Male,false
88859,US,Male,false
301198,US,Male,false
372304,SA,Male,false
443397,US,Male,false
17863,CN,Male,false
87626,"",Male,false
159767,US,Male,false
580394,US,Male,false
374950,US,Male,false
595700,"",Male,false
90239,US,Male,false
89490,US,Male,false
569046,US,Male,false
303803,US,Male,false
161396,US,Male,false
303737,US,Male,false
18933,US,Male,false
374311,US,Male,false
304298,US,Male,false
303685,US,Male,false
515879,US,Male,false
19688,US,Male,false
305801,US,Male,false
306079,US,Male,false
518917,US,Male,false
91808,US,Male,false
448237,US,Male,false
446905,US,Male,false
21484,US,Male,false
235405,US,Male,false
93192,US,Male,false
518589,US,Male,false
518370,US,Male,false
446590,"",Male,false
234785,US,Male,false
234989,US,Male,false
377145,US,Male,false
305559,US,Male,false
305086,US,Male,false
376661,US,Male,false
21006,US,Male,false
450371,US,Male,false
449328,US,Male,false
450065,US,Male,false
24378,US,Male,false
449584,US,Male,false
95478,US,Male,false
165946,"",Male,false
237508,US,Male,false
450092,US,Male,false
307056,"",Male,false
22544,CN,Male,false
521111,US,Male,false
520908,US,Male,false
23697,US,Male,false
236623,US,Male,false
521074,US,Male,false
307520,US,Male,false
309012,US,Male,false
167302,US,Male,false
309657,US,Male,false
523656,US,Male,false
168489,US,Male,false
96364,US,Male,false
238826,US,Male,false
380158,US,Male,false
383395,US,Male,false
98388,CN,Male,false
170043,US,Male,false
99124,US,Male,false
454733,US,Male,false
524657,US,Male,false
454291,US,Male,false
524795,US,Male,false
453848,US,Male,false
383375,US,Male,false
311314,US,Male,false
27279,US,Male,false
457221,US,Male,false
172291,US,Male,false
29204,US,Male,false
594728,US,Male,false
313557,US,Male,false
569445,US,Male,false
30627,US,Male,false
171845,US,Male,false
244277,US,Male,false
385002,US,Male,false
172098,US,Male,false
172345,US,Male,false
528074,US,Male,false
314552,US,Male,false
384410,US,Male,false
244000,US,Male,false
172186,CN,Male,false
313396,US,Male,false
528415,US,Male,false
529701,US,Male,false
387727,US,Male,false
173894,US,Male,false
102803,US,Male,false
173814,US,Male,false
173808,US,Male,false
387209,US,Male,false
386961,US,Male,false
459567,US,Male,false
102985,US,Male,false
246240,US,Male,false
32557,US,Male,false
174474,US,Male,false
104043,US,Male,false
103152,"",Male,false
106045,US,Male,false
575380,US,Male,false
33349,US,Male,false
460583,US,Male,false
248770,US,Male,false
459843,US,Male,false
176089,US,Male,false
461100,US,Male,false
104795,US,Male,false
105505,US,Male,false
390472,US,Male,false
531347,US,Male,false
37278,IN,Male,false
534813,US,Male,false
36621,US,Male,false
463217,US,Male,false
462445,US,Male,false
391447,US,Male,false
36650,US,Male,false
319995,US,Male,false
320539,"",Male,false
534303,US,Male,false
178213,US,Male,false
179731,US,Male,false
179679,US,Male,false
179386,US,Male,false
38758,US,Male,false
110313,US,Male,false
394814,US,Male,false
109261,US,Male,false
584094,US,Male,false
109442,US,Male,false
251335,"",Male,false
536457,US,Male,false
180296,US,Male,false
39261,US,Male,false
179877,US,Male,false
536321,US,Male,false
536316,US,Male,false
111196,US,Male,false
181515,US,Male,false
109461,US,Male,false
393393,US,Male,false
396467,US,Male,false
589944,US,Male,false
182720,US,Male,false
183794,US,Male,false
466748,US,Male,false
112817,US,Male,false
40979,US,Male,false
112678,US,Male,false
467998,US,Male,false
324463,CN,Male,false
254156,"",Male,false
467808,US,Male,false
41402,US,Male,false
325972,US,Male,false
254938,US,Male,false
468133,US,Male,false
469415,"",Male,false
327330,US,Male,false
397488,US,Male,false
42859,US,Male,false
326752,US,Male,false
468731,US,Male,false
255716,US,Male,false
44367,US,Male,false
469327,US,Male,false
255766,US,Male,false
541302,US,Male,false
185203,US,Male,false
185240,CN,Male,false
114613,US,Male,false
578579,US,Male,false
184318,US,Male,false
327614,US,Male,false
539756,"",Male,false
185904,US,Male,false
399581,US,Male,false
258561,US,Male,false
117280,US,Male,false
543661,US,Male,false
401111,US,Male,false
570088,US,Male,false
399654,TR,Male,false
543563,US,Male,false
329334,CN,Male,false
117672,US,Male,false
330619,US,Male,false
45700,US,Male,false
329618,US,Male,false
575777,US,Male,false
117789,US,Male,false
471367,US,Male,false
402591,US,Male,false
545171,US,Male,false
190032,CN,Male,false
331081,US,Male,false
474717,US,Male,false
473500,US,Male,false
261943,LK,Male,false
401984,US,Male,false
118965,US,Male,false
333024,US,Male,false
597518,US,Male,false
474399,ZW,Male,false
119292,US,Male,false
261598,US,Male,false
190923,US,Male,false
262130,US,Male,false
120867,"",Male,false
546573,US,Male,false
263075,US,Male,false
120938,US,Male,false
477138,US,Male,false
578912,US,Male,false
50334,US,Male,false
476116,US,Male,false
49860,US,Male,false
121909,US,Male,false
121957,US,Male,false
264451,US,Male,false
192252,US,Male,false
120895,US,Male,false
477501,US,Male,false
576061,US,Male,false
408248,US,Male,false
51898,US,Male,false
52712,US,Male,false
406565,US,Male,false
194595,IN,Male,false
195178,US,Male,false
549255,US,Male,false
335580,US,Male,false
122653,US,Male,false
549008,US,Male,false
406594,US,Male,false
264520,US,Male,false
551594,CN,Male,false
409074,US,Male,false
126436,US,Male,false
410716,"",Male,false
267284,US,Male,false
573309,US,Male,false
596457,US,Male,false
410876,US,Male,false
481447,KR,Male,false
126646,US,Male,false
267078,CN,Male,false
56454,US,Male,false
271161,"",Male,false
341746,CN,Male,false
271184,US,Male,false
597695,US,Male,false
269244,US,Male,false
198555,US,Male,false
197813,US,Male,false
197538,US,Male,false
482312,CN,Male,false
553693,US,Male,false
57664,US,Male,false
269960,CN,Male,false
339884,US,Male,false
57839,US,Male,false
200493,US,Male,false
555845,CN,Male,false
573469,US,Male,false
57871,US,Male,false
130288,"",Male,false
579201,US,Male,false
272029,US,Male,false
596500,US,Male,false
414060,US,Male,false
555956,US,Male,false
342312,US,Male,false
484344,US,Male,false
556779,US,Male,false
579190,US,Male,false
133260,US,Male,false
415905,US,Male,false
345381,US,Male,false
486218,US,Male,false
202275,US,Male,false
273484,US,Male,false
202886,"",Male,false
344951,CN,Male,false
131528,US,Male,false
60106,US,Male,false
132959,US,Male,false
345874,US,Male,false
203783,US,Male,false
416244,SY,Male,false
415635,US,Male,false
60336,US,Male,false
345941,"",Male,false
202931,US,Male,false
204256,US,Male,false
419429,US,Male,false
560835,US,Male,false
204452,US,Male,false
205429,US,Male,false
347946,US,Male,false
276238,US,Male,false
276404,US,Male,false
64017,"",Male,false
582232,US,Male,false
489914,US,Male,false
489940,US,Male,false
419649,US,Male,false
137730,US,Male,false
348990,US,Male,false
421383,"",Male,false
350409,"",Male,false
135847,US,Male,false
279925,US,Male,false
349777,US,Male,false
350500,US,Male,false
207396,IT,Male,false
279807,CN,Male,false
207246,US,Male,false
278585,US,Male,false
422092,US,Male,false
207794,US,Male,false
570876,US,Male,false
137837,US,Male,false
136904,US,Male,false
352523,CN,Male,false
565777,"",Male,false
494042,"",Male,false
68545,US,Male,false
493752,"",Male,false
494465,KR,Male,false
576700,US,Male,false
210005,US,Male,false
582387,US,Male,false
424610,US,Male,false
424970,US,Male,false
567589,US,Male,false
353972,"",Male,false
353381,US,Male,false
599088,US,Male,false
582500,US,Male,false
425819,US,Male,false
282968,US,Male,false
567510,US,Male,false
283163,US,Male,false
140911,US,Male,false
212612,US,Male,false
495809,US,Male,false
1018,US,Male,false
144254,US,Male,false
588340,US,Male,false
427606,US,Male,false
1221,US,Male,false
427186,US,Male,false
428034,US,Male,false
143905,US,Male,false
497347,US,Male,false
214376,"",Male,false
1855,US,Male,false
214401,US,Male,false
213970,US,Male,false
286924,US,Male,false
215563,JP,Male,false
75033,US,Male,false
145238,US,Male,false
359294,US,Male,false
217891,US,Male,false
361174,US,Male,false
218842,US,Male,false
4956,US,Male,false
433205,US,Male,false
571354,IR,Male,false
148209,US,Male,false
600094,US,Male,false
289829,US,Male,false
148004,US,Male,false
432392,US,Male,false
148646,US,Male,false
4775,US,Male,false
218707,US,Male,false
290444,US,Male,false
7678,US,Male,false
505103,CN,Male,false
504023,MY,Male,false
8778,US,Male,false
221965,US,Male,false
571421,US,Male,false
292291,US,Male,false
150613,US,Male,false
79998,US,Male,false
433490,US,Male,false
571373,US,Male,false
149775,US,Male,false
433971,US,Male,false
580057,US,Male,false
585791,US,Male,false
591605,"",Male,false
78654,US,Male,false
292486,HK,Male,false
507468,US,Male,false
294631,US,Male,false
80828,US,Male,false
223340,US,Male,false
437624,"",Male,false
9751,US,Male,false
152523,SA,Male,false
10046,US,Male,false
82486,US,Male,false
225266,US,Male,false
82625,US,Male,false
225573,US,Male,false
225979,US,Male,false
439682,US,Male,false
296981,PL,Male,false
226237,"",Male,false
367988,US,Male,false
296148,US,Male,false
83888,US,Male,false
296153,US,Male,false
585901,US,Male,false
295692,"",Male,false
156510,US,Male,false
440801,US,Male,false
574535,US,Male,false
368735,US,Male,false
86455,US,Male,false
368799,CN,Male,false
368917,CN,Male,false
511383,US,Male,false
299873,US,Male,false
230725,US,Male,false
230218,US,Male,false
443732,US,Male,false
586051,US,Male,false
87461,AT,Male,false
514322,US,Male,false
442729,US,Male,false
586106,US,Male,false
443012,US,Male,false
513917,US,Male,false
229583,US,Male,false
229046,US,Male,false
19251,US,Male,false
89221,"",Male,false
302624,US,Male,false
231713,US,Male,false
591442,US,Male,false
516052,US,Male,false
89291,IN,Male,false
18616,CN,Male,false
374434,US,Male,false
90769,US,Male,false
374040,US,Male,false
18514,US,Male,false
232017,US,Male,false
18428,US,Male,false
516220,US,Male,false
161125,US,Male,false
600134,US,Male,false
18682,BO,Male,false
595156,US,Male,false
92994,US,Male,false
304604,US,Male,false
305459,US,Male,false
600740,US,Male,false
234657,US,Male,false
162062,US,Male,false
21067,US,Male,false
376289,US,Male,false
164243,"",Male,false
594628,JP,Male,false
596223,US,Male,false
165266,US,Male,false
23719,US,Male,false
377847,US,Male,false
379644,US,Male,false
94723,CN,Male,false
308408,US,Male,false
449068,US,Male,false
307684,US,Male,false
577709,US,Male,false
452605,US,Male,false
167388,IR,Male,false
97159,US,Male,false
596803,US,Male,false
381100,US,Male,false
451296,"",Male,false
580739,US,Male,false
452606,CN,Male,false
166813,US,Male,false
97451,US,Male,false
310378,US,Male,false
451403,US,Male,false
309026,US,Male,false
239327,US,Male,false
312117,US,Male,false
312087,"",Male,false
240668,US,Male,false
98308,US,Male,false
312048,US,Male,false
99907,US,Male,false
586510,US,Male,false
27628,US,Male,false
384223,US,Male,false
242218,US,Male,false
454382,US,Male,false
27609,US,Male,false
168838,US,Male,false
454542,US,Male,false
98311,US,Male,false
102182,US,Male,false
385565,CN,Male,false
457288,US,Male,false
243540,US,Male,false
100899,US,Male,false
242585,US,Male,false
583794,US,Male,false
586619,US,Male,false
242623,US,Male,false
385958,US,Male,false
599054,US,Male,false
526996,US,Male,false
314277,US,Male,false
171830,CN,Male,false
30263,US,Male,false
172189,US,Male,false
528123,CN,Male,false
569473,US,Male,false
528011,US,Male,false
596854,US,Male,false
174892,US,Male,false
102471,US,Male,false
387258,US,Male,false
102545,"",Male,false
245290,US,Male,false
245054,US,Male,false
315602,US,Male,false
177187,US,Male,false
569635,US,Male,false
104742,"",Male,false
460652,"",Male,false
601852,US,Male,false
317959,DE,Male,false
586805,US,Male,false
249132,US,Male,false
321480,US,Male,false
250337,US,Male,false
533254,"",Male,false
250486,US,Male,false
534894,US,Male,false
392719,US,Male,false
108011,PK,Male,false
322007,US,Male,false
463591,US,Male,false
250577,US,Male,false
534157,US,Male,false
249071,US,Male,false
321479,US,Male,false
178452,US,Male,false
252083,US,Male,false
180005,US,Male,false
578396,US,Male,false
465410,US,Male,false
464799,US,Male,false
322239,US,Male,false
39117,"",Male,false
324177,CN,Male,false
179871,US,Male,false
322351,US,Male,false
40166,US,Male,false
467161,US,Male,false
255337,CN,Male,false
253800,"",Male,false
396263,US,Male,false
396043,US,Male,false
324731,US,Male,false
396730,US,Male,false
41812,US,Male,false
395400,US,Male,false
254508,CN,Male,false
325185,US,Male,false
324866,US,Male,false
40366,SG,Male,false
111402,US,Male,false
182350,IN,Male,false
324605,"",Male,false
601154,US,Male,false
395533,CN,Male,false
598860,US,Male,false
42127,US,Male,false
111734,US,Male,false
590056,US,Male,false
469073,CO,Male,false
469802,US,Male,false
43585,US,Male,false
590007,US,Male,false
469604,US,Male,false
43428,US,Male,false
185417,US,Male,false
397698,US,Male,false
541586,US,Male,false
184301,CN,Male,false
469130,US,Male,false
184441,US,Male,false
398531,US,Male,false
539971,US,Male,false
327604,US,Male,false
43981,US,Male,false
602176,US,Male,false
42631,US,Male,false
186396,US,Male,false
542973,US,Male,false
188303,US,Male,false
115816,US,Male,false
45720,"",Male,false
186759,US,Male,false
117569,US,Male,false
581514,US,Male,false
117347,US,Male,false
543675,US,Male,false
258520,US,Male,false
399797,US,Male,false
186793,US,Male,false
570086,US,Male,false
259067,US,Male,false
44530,US,Male,false
471982,US,Male,false
261076,US,Male,false
190381,US,Male,false
119257,US,Male,false
545700,US,Male,false
403156,US,Male,false
189645,US,Male,false
119836,US,Male,false
474290,US,Male,false
587315,US,Male,false
190251,US,Male,false
403933,US,Male,false
402542,US,Male,false
403267,US,Male,false
334107,US,Male,false
476954,US,Male,false
547859,US,Male,false
477120,US,Male,false
404664,US,Male,false
573098,US,Male,false
49085,US,Male,false
547412,US,Male,false
405655,US,Male,false
333065,US,Male,false
406416,PH,Male,false
191980,US,Male,false
477276,US,Male,false
596432,US,Male,false
405651,US,Male,false
334626,US,Male,false
121873,US,Male,false
408446,US,Male,false
596439,US,Male,false
335543,"",Male,false
194600,US,Male,false
123095,CN,Male,false
590422,US,Male,false
549808,US,Male,false
407867,US,Male,false
266079,US,Male,false
193417,"",Male,false
590376,US,Male,false
549888,US,Male,false
590394,US,Male,false
335499,US,Male,false
335360,US,Male,false
478808,US,Male,false
551943,US,Male,false
552177,US,Male,false
53470,US,Male,false
124745,US,Male,false
550967,US,Male,false
550625,US,Male,false
550724,US,Male,false
337550,US,Male,false
552028,US,Male,false
269774,US,Male,false
482888,US,Male,false
587706,US,Male,false
341256,US,Male,false
607071,"",Male,false
56676,US,Male,false
482407,US,Male,false
483030,US,Male,false
198122,US,Male,false
341651,US,Male,false
554160,US,Male,false
57596,US,Male,false
412779,US,Male,false
56315,US,Male,false
553716,US,Male,false
553912,US,Male,false
553830,US,Male,false
59286,US,Male,false
130215,US,Male,false
58645,EG,Male,false
343438,US,Male,false
484777,US,Male,false
487458,US,Male,false
345229,US,Male,false
573544,US,Male,false
416732,US,Male,false
416384,"",Male,false
60774,US,Male,false
488295,US,Male,false
344889,US,Male,false
132920,US,Male,false
202919,US,Male,false
132789,US,Male,false
604985,US,Male,false
274968,US,Male,false
487461,"",Male,false
557135,US,Male,false
345059,US,Male,false
61343,CN,Male,false
597949,US,Male,false
487363,"",Male,false
131710,US,Male,false
561314,US,Male,false
418962,US,Male,false
63958,US,Male,false
582223,US,Male,false
347766,US,Male,false
62560,US,Male,false
63160,US,Male,false
346376,US,Male,false
135419,US,Male,false
418410,US,Male,false
134017,US,Male,false
64222,US,Male,false
489374,US,Male,false
570844,"",Male,false
277661,"",Male,false
418615,US,Male,false
582220,US,Male,false
570838,US,Male,false
279480,US,Male,false
349048,CN,Male,false
492463,US,Male,false
561604,US,Male,false
66593,US,Male,false
136639,US,Male,false
421070,US,Male,false
582300,US,Male,false
208017,US,Male,false
420655,US,Male,false
420331,US,Male,false
278914,US,Male,false
