,course_subject,drop percentage,total
115,JPNS,36.118038237738986,2406
116,KORE,36.92614770459082,1002
117,LAS,36.80297397769517,269
118,LATH,2.7027027027027026,74
119,LATS,30.042918454935624,466
120,LAW,37.742627345844504,18650
121,LING,36.423841059602644,3926
122,LLS,48.01659125188537,13260
123,LS,27.313892410795145,5521
124,LWAB,0.0,6
125,MATH,34.83476420087028,59521
126,MBA,31.568765388673935,11372
127,ME,20.82226585056011,8659
128,MED,10.480833148681587,9026
129,MGMT,30.371146990983434,23845
130,MICR,26.736183524504693,4795
131,MILS,33.92680514342236,1011
132,MKTG,30.504969265238124,17407
133,MMED,25.728155339805824,824
134,MPB,7.0559610705596105,411
135,MSCI,31.948221164740538,35304
136,MSTP,15.584415584415584,231
137,MTLS,38.547486033519554,537
138,MUS,32.761344055140725,27856
139,MUSM,32.3943661971831,994
140,NAIS,38.24884792626728,217
141,NEUR,9.15492957746479,568
142,NSCI,20.930232558139537,688
143,NSG,16.666666666666664,18
144,NURS,9.347608682863697,16999
145,OBG,10.94224924012158,658
146,OEH,23.991354466858787,1388
147,OMFS,1.0,1000
148,OPER,2.8735632183908044,1218
149,OPHT,22.10953346855984,493
150,OPRM,10.122578094108343,2529
151,ORDN,8.348968105065666,1066
152,ORSC,18.996415770609318,558
153,ORTH,22.2972972972973,740
154,OSTC,88.88888888888889,18
155,OTO,23.415977961432507,363
156,OTP,7.6923076923076925,13
157,PA,20.29250457038391,1094
158,PATH,23.463687150837988,1611
159,PCD,5.552603613177471,3764
160,PCOL,22.441860465116278,860
161,PEDO,15.889830508474576,944
162,PEDS,19.278252611585945,1053
163,PERF,7.4074074074074066,189
164,PERI,6.373815676141257,1161
165,PHAR,15.739442106903537,19251
166,PHIL,37.963150435310794,24695
167,PHTO,39.12429378531073,708
168,PHYS,34.2516494964695,25917
169,PNTG,40.09077155824508,661
170,POLI,37.98744272866112,29465
171,PORT,41.39344262295082,488
172,PRNT,35.209713024282564,906
173,PROS,2.918004085205719,3427
174,PSQF,34.133657888913476,9038
175,PSY,34.23954114751875,51607
176,PSYC,17.02970297029703,1010
177,PTRS,3.8451935081148565,4005
178,RAD,17.670682730923694,747
179,RADO,24.489795918367346,49
180,RCE,32.236314015090706,12458
181,REA,23.826553419758607,2237
182,RELS,40.60907546711963,8242
183,RHET,31.13026348190101,20305
184,RSCI,14.52513966480447,179
185,RSCT,4.980842911877394,261
186,RSMR,2.5423728813559325,118
187,RSMS,3.71900826446281,726
188,RSNM,5.0,140
189,RSP,12.577962577962579,962
190,RSRT,3.640256959314775,467
191,RSTH,3.8095238095238098,210
192,RUSS,34.75009838646203,2541
193,SCLP,41.43094841930117,601
194,SIED,28.01418439716312,282
195,SJUS,38.11533052039381,711
196,SLA,26.153846153846157,65
197,SLIS,32.299927901946646,1387
198,SOAS,44.44444444444444,36
199,SOC,32.8275728343594,20629
200,SPAN,38.639125151883356,16460
201,SPST,28.242632824263282,4649
202,SRM,30.105744498428123,17495
203,SSW,23.328690807799443,10052
204,STAT,37.64005718655451,30077
205,SURG,19.505851755526656,769
206,SWAH,34.51053283767038,1614
207,TAPE,21.333333333333336,525
208,TBM,15.59633027522936,109
209,TDSN,32.20338983050847,826
210,THTR,35.54626749611198,10288
211,TOX,13.26530612244898,294
212,TR,24.627036952031215,4357
213,TRNS,36.523929471032744,794
214,UICB,42.585034013605444,1470
215,ULIB,57.25806451612904,248
216,URES,20.278833967046893,1578
217,URO,23.37962962962963,432
218,URP,26.74772036474164,1645
219,WLLC,44.134078212290504,358
220,WRIT,33.40489480463718,2329
