course_section_id,course_id,course_section_status,max_enrollment,delivery_mode
152662,167346,active,7,Online
197351,357359,active,7,Online
62139,249272,active,7,Online
194594,351983,active,7,Online
37486,160526,active,7,Online
150467,173229,active,7,Online
117272,212928,active,7,Online
194051,348152,active,7,Online
195831,355799,active,7,Online
104652,321990,active,7,Online
151508,192702,active,7,Online
194251,351649,active,7,Online
194543,357179,active,7,Online
194462,355855,active,263,Online
190227,355474,active,8,Online
120056,310433,active,8,Online
196612,353932,active,8,Online
190466,350475,active,8,Online
192280,352297,active,8,Online
116305,325571,active,8,Online
53084,318018,active,8,Online
191166,356411,active,8,Online
42799,305433,active,8,Online
150517,220149,active,8,Online
82081,166099,active,8,Online
187929,347922,active,8,Online
194223,348985,active,8,Online
193573,353616,active,8,Online
187516,350134,active,8,Online
190850,350842,active,8,Online
145436,339390,active,8,Online
128926,281203,active,8,Online
174244,267497,active,8,Online
155891,317688,active,9,Online
14775,226674,active,9,Online
191742,354361,active,9,Online
193660,356337,active,9,Online
82059,324524,active,9,Online
194780,346914,active,9,Online
194122,356744,active,9,Online
25971,192669,active,9,Online
187615,347597,active,9,Online
125921,177175,active,9,Online
150919,320298,active,9,Online
23868,260343,active,9,Online
188886,348897,active,10,Online
156882,288539,active,10,Online
194586,349336,active,10,Online
187953,350589,active,10,Online
129589,228078,active,10,Online
42916,221611,active,10,Online
45963,263313,active,10,Online
196030,355736,active,10,Online
187190,352431,active,10,Online
84979,219150,active,10,Online
194638,352019,active,10,Online
25280,191803,active,10,Online
189320,349330,active,10,Online
123761,220793,active,10,Online
195790,347877,active,10,Online
151618,286793,active,10,Online
149789,253542,active,10,Online
155249,260976,active,10,Online
195298,347422,active,10,Online
51856,316491,active,10,Online
189807,349835,active,10,Online
28483,326563,active,10,Online
99132,328697,active,10,Online
152927,172221,active,10,Online
193936,356581,active,10,Online
150238,261510,active,10,Online
157941,215617,active,10,Online
159852,203078,active,10,Online
193552,350568,active,10,Online
190792,350782,active,10,Online
189472,349485,active,10,Online
154890,208347,active,10,Online
94550,231135,active,10,Online
191414,351439,active,10,Online
189408,352054,active,10,Online
28904,310894,active,10,Online
91824,309361,active,10,Online
195674,355648,active,10,Online
160708,303775,active,10,Online
28304,287658,active,10,Online
186956,354802,active,10,Online
13982,177330,active,10,Online
157384,297685,active,10,Online
197383,357389,active,10,Online
190857,356114,active,10,Online
196861,348957,active,10,Online
138795,339980,active,10,Online
35853,296937,active,10,Online
187962,347966,active,10,Online
194621,352004,active,10,Online
130730,303286,active,10,Online
190807,350788,active,10,Online
109989,220793,active,10,Online
84636,310967,active,10,Online
152667,306008,active,10,Online
192768,351748,active,10,Online
195810,355783,active,10,Online
190450,353048,,10,Online
155413,171510,active,10,Online
43995,309361,active,10,Online
154991,256384,active,10,Online
188697,348693,,10,Online
68397,290776,active,10,Online
195375,350144,active,10,Online
190066,347450,active,10,Online
192472,352492,active,10,Online
194165,351573,active,10,Online
193121,350539,active,10,Online
156582,288566,active,10,Online
44418,261483,active,10,Online
193945,356591,active,10,Online
193994,351417,active,10,Online
192760,356960,active,10,Online
19930,184972,active,10,Online
91233,273134,active,10,Online
192896,350309,active,10,Online
158629,307003,active,10,Online
194238,355120,active,10,Online
5435,309361,active,10,Online
143137,290707,active,10,Online
188183,350812,active,10,Online
130665,210382,active,10,Online
191162,353789,active,10,Online
60169,314177,active,10,Online
130877,321661,active,10,Online
191522,351551,active,10,Online
190562,347577,active,10,Online
188586,351246,active,10,Online
188645,353894,active,10,Online
183421,289052,active,10,Online
197008,354142,active,10,Online
1553,290776,active,10,Online
191015,351019,active,10,Online
86881,221611,active,10,Online
188999,349024,active,10,Online
189250,354493,active,10,Online
127256,178761,active,10,Online
120110,169958,active,10,Online
189052,354281,active,10,Online
156867,288384,,10,Online
158652,253542,active,10,Online
187144,347018,active,10,Online
159094,281470,active,10,Online
139928,286740,active,10,Online
124348,221469,active,10,Online
115949,303286,active,10,Online
53951,180654,active,10,Online
189940,347328,active,10,Online
52533,317366,active,10,Online
189944,351745,active,10,Online
192184,352183,active,10,Online
79359,252447,active,10,Online
189985,347369,active,10,Online
51075,315558,active,10,Online
71561,340635,active,10,Online
155494,172819,active,10,Online
188792,351446,active,10,Online
154887,300270,active,10,Online
188290,348261,active,10,Online
156573,237180,active,10,Online
194653,349393,active,10,Online
156333,233097,active,10,Online
91486,273439,active,10,Online
155021,210914,active,10,Online
189801,352457,active,10,Online
196609,351345,active,10,Online
67469,197561,active,10,Online
194371,356986,active,10,Online
13,252447,active,10,Online
7690,308146,active,10,Online
1694,300137,active,10,Online
50040,192177,active,10,Online
186910,352175,active,10,Online
192447,352470,active,10,Online
196908,349007,active,10,Online
153256,270979,active,10,Online
187213,349816,active,10,Online
188937,356044,active,10,Online
194896,347018,active,10,Online
191259,356515,active,10,Online
139836,286592,active,10,Online
34306,203046,active,10,Online
8651,309361,active,10,Online
158198,312359,active,10,Online
193329,350742,active,10,Online
194602,349349,active,10,Online
188573,351231,active,10,Online
187805,350452,active,10,Online
187347,352585,active,10,Online
189384,349396,active,10,Online
14900,224845,active,10,Online
59397,187581,active,10,Online
196313,353647,active,10,Online
190977,350981,active,10,Online
6143,327999,active,10,Online
136565,227257,active,10,Online
188798,348794,active,10,Online
187830,349007,active,10,Online
193802,353819,active,10,Online
97070,326073,active,10,Online
69002,199348,active,10,Online
194847,349599,active,10,Online
23061,209822,active,10,Online
187673,349728,active,10,Online
8174,216535,active,10,Online
190482,353068,active,10,Online
187551,350169,active,11,Online
18701,275789,active,11,Online
197010,356977,active,11,Online
37080,206540,,11,Online
188910,356836,active,11,Online
194199,356836,active,11,Online
137702,284030,,11,Online
190233,350076,active,11,Online
188185,356067,active,11,Online
132661,226674,active,11,Online
165642,341528,active,11,Online
194998,348152,active,11,Online
187456,350076,active,11,Online
193266,350673,active,11,Online
190174,347547,active,1035,Online
194976,354918,active,12,Online
159883,172221,active,12,Online
187189,349796,active,12,Online
188957,351616,active,12,Online
